lookback_months,top_n,trend_sma_days,rendimento_totale,cagr,volatilita,sharpe,max_drawdown,n_trade,commissioni,slippage,costi_totali,equity_finale,anni,skew,kurtosis,n_osservazioni
3,2,100,1.391296359603854,0.06429927715439332,0.13633551329952623,0.5258780422384927,-0.19116870391631746,467.0,467.0,18003.514693878024,18470.514693878024,239129.6359603854,13.990417522245037,-0.31197269716710424,9.492126748740237,3522.0
3,2,200,2.9895522098504466,0.10395800557455726,0.14280590373585172,0.7649032391316739,-0.18484755918290807,470.0,470.0,23847.005606185146,24317.005606185146,398955.22098504467,13.990417522245037,-0.294794475270052,8.2774290884445,3522.0
3,3,100,1.5296308190020826,0.0685860861445855,0.12309421491710591,0.6011947113198964,-0.17643394111609512,643.0,643.0,16294.518798523975,16937.518798523975,252963.0819002083,13.990417522245037,-0.44070280922688787,9.245971124487035,3522.0
3,3,200,3.2545690138619356,0.10904462442379081,0.1291745832669478,0.8668958253935647,-0.17577054813412596,651.0,651.0,21435.00614322288,22086.00614322288,425456.9013861936,13.990417522245037,-0.359045817608757,8.14649384457671,3522.0
3,4,100,1.617932861278366,0.07121002146046052,0.11466689320958501,0.6580179519761326,-0.16172173581275806,810.0,810.0,15675.486614658468,16485.486614658468,261793.28612783662,13.990417522245037,-0.3943778023196063,10.33783997726735,3522.0
3,4,200,3.25888478021509,0.10912499854852142,0.11950025677941162,0.9275848815186237,-0.16545755412813568,837.0,837.0,20003.92300854083,20840.92300854083,425888.47802150896,13.990417522245037,-0.3276031094929579,9.132714789188757,3522.0
6,2,100,1.0635866174587894,0.053145660791043214,0.1421270680023026,0.43588543917759925,-0.24154109125226286,405.0,405.0,13724.034974885892,14129.034974885892,206358.66174587896,13.990417522245037,-0.22509886116907082,8.578062116195074,3522.0
6,2,200,2.1947699451220006,0.08656591753735476,0.1506936279569343,0.6269994106725251,-0.22648426281422762,405.0,405.0,15872.015111399014,16277.015111399014,319476.99451220006,13.990417522245037,-0.19498168966646592,7.57176687800561,3522.0
6,3,100,1.617859376955629,0.07120787221606784,0.1248437732008787,0.6141300577486555,-0.19507900887195762,565.0,565.0,13148.917368949922,13713.917368949922,261785.9376955629,13.990417522245037,-0.33392818169387184,8.77152550188076,3522.0
6,3,200,2.928197309779981,0.10273573451011364,0.13545386822369604,0.7906394498561453,-0.1951273871087652,562.0,562.0,14260.366366866088,14822.366366866088,392819.7309779981,13.990417522245037,-0.24293773857814385,7.848248334153178,3522.0
6,4,100,1.386698841894498,0.0641528872748276,0.11555650528225553,0.5965547691868752,-0.18147546123726666,711.0,711.0,11573.515719346708,12284.515719346708,238669.8841894498,13.990417522245037,-0.3439033758801161,9.963913476651303,3522.0
6,4,200,2.5960018532972513,0.09579323432626508,0.12409459930014498,0.8001532847344359,-0.18146547896429444,709.0,709.0,12162.635693775865,12871.635693775865,359600.18532972515,13.990417522245037,-0.2510249426342242,8.393190983228223,3522.0
9,2,100,1.6570507680604716,0.0723462524386167,0.13517231226588308,0.5850118884783583,-0.2264741004104578,383.0,383.0,11899.112122405664,12282.112122405664,265705.0768060472,13.990417522245037,-0.2806671187524737,8.810428792372974,3522.0
9,2,200,2.498867623039973,0.09365055088147467,0.15012437612229915,0.6722390865700842,-0.22641698758773543,373.0,373.0,11637.645571831052,12010.645571831052,349886.7623039973,13.990417522245037,-0.3632013982866361,9.307225672390942,3522.0
9,3,100,1.4081366408659557,0.0648332672518317,0.11940199171776053,0.5865136678496526,-0.204687877374654,533.0,533.0,10495.38501785156,11028.38501785156,240813.66408659556,13.990417522245037,-0.4119956336655011,9.20970725760651,3522.0
9,3,200,2.3818195033678884,0.090993961596878,0.13323592584630026,0.7211708565821873,-0.20978263885080173,527.0,527.0,10310.876474131883,10837.876474131883,338181.95033678884,13.990417522245037,-0.40922359190890595,8.988037199484385,3522.0
9,4,100,1.5606248347911778,0.0695166399435565,0.1118983073879791,0.6573498101303593,-0.18886110688995805,653.0,653.0,9654.643404531838,10307.643404531838,256062.48347911777,13.990417522245037,-0.4664666033549747,9.567073343838928,3522.0
9,4,200,2.499778358818872,0.09367089600405576,0.12656058200562037,0.7717442718761978,-0.21397947943520945,645.0,645.0,8927.523606595074,9572.523606595074,349977.8358818872,13.990417522245037,-0.46053476635170515,10.232431972003916,3522.0
12,2,100,1.8285892990256385,0.07715222999945737,0.13334432723344583,0.6247335257580905,-0.2264880027795061,385.0,385.0,12976.333995400952,13361.333995400952,282858.92990256386,13.990417522245037,-0.19272333124603327,9.562457380011391,3522.0
12,2,200,1.8282399189852803,0.07714271958351149,0.14875643100305355,0.5746284484233294,-0.2488242857931361,379.0,379.0,11242.701582445005,11621.701582445005,282823.991898528,13.990417522245037,-0.27857529164602796,9.902674123844847,3522.0
12,3,100,1.632060242825561,0.0716221773143837,0.1186680274343036,0.6430102209884774,-0.20421633907368963,519.0,519.0,10687.705629385242,11206.705629385242,263206.0242825561,13.990417522245037,-0.3528557605636171,10.630936130561622,3522.0
12,3,200,2.119995945630645,0.08472810371916184,0.1317825570774916,0.6838814680963505,-0.2222328907150759,518.0,518.0,9855.568263395777,10373.568263395777,311999.5945630645,13.990417522245037,-0.3704791499030934,9.904688304635009,3522.0
12,4,100,1.5608834460997811,0.06952436031270337,0.10990031945750424,0.6673382615916568,-0.18153276405601193,631.0,631.0,9401.269394335186,10032.269394335186,256088.3446099781,13.990417522245037,-0.437276695696294,11.01293098918173,3522.0
12,4,200,2.1239376684616826,0.08482600033357679,0.12022351690011397,0.7382291947227688,-0.21115826819894212,630.0,630.0,8362.830994840753,8992.830994840753,312393.76684616826,13.990417522245037,-0.3493290025672453,9.51543568194585,3522.0
